virus.tax.id, new_taxid
318562, 2760813
318572, 2015550
460162, 2760818
650039, 2650411
1230646, 2760819
1247477, 2760820
12129, 2777147
2035815, 2758139
1229657, 2758380
374077, 2758968
1232138, 1887213
1639825, 2758381
10560, 2758382
658423, 2759772
323366, 2772508
1234809, 2756242
323365, 2773289
1561226, 2560801
2081931, 2560282
1490026, 2560349
2044517, 2560371
220618, 2560401
1892570, 2560515
1659298, 2560614
2016051, 2678937
75723, 2789016
1993881, 2560607
1792242, 2772511
